state,compltothudfhap,pop,comppop,reportablen,reporttot
Alabama,126,"4,677,464",2.69377,18,7.5019
Alaska,12,"688,125",1.74387,27,13.007
Arizona,239,"6,499,377",3.67728,24,3.67728
Arkansas,110,"2,867,764",3.83574,20,9.25819
California,1108,"36,580,371",3.02895,26,3.02895
Colorado,97,"4,935,213",1.96547,22,1.96547
Connecticut,138,"3,502,932",3.93956,1,20.496
Delaware,20,"876,211",2.28256,14,14.0015
District of Columbia,40,"590,074",6.77881,14,14.0015
Florida,724,"18,423,878",3.92968,17,3.92968
Georgia,200,"9,697,838",2.06232,15,2.06232
Hawaii,66,"1,287,481",5.12629,27,13.007
Idaho,86,"1,527,506",5.63009,23,9.94475
Illinois,370,"12,842,954",2.88096,6,2.88096
Indiana,201,"6,388,309",3.14637,7,9.14044
Iowa,199,"2,993,987",6.64666,10,19.9184
Kansas,108,"2,797,375",3.86076,11,10.3144
Kentucky,107,"4,287,931",2.49538,18,7.5019
Louisiana,118,"4,451,513",2.65078,20,9.25819
Maine,63,"1,319,691",4.77384,1,20.496
Maryland,80,"5,658,655",1.41376,14,14.0015
Massachusetts,295,"6,543,595",4.50823,2,4.50823
Michigan,497,"10,002,486",4.96876,8,4.96876
Minnesota,101,"5,230,567",1.93096,10,19.9184
Mississippi,68,"2,940,212",2.31276,18,7.5019
Missouri,297,"5,956,335",4.98629,12,4.98629
Montana,4,"968,035",0.413208,23,9.94475
Nebraska,115,"1,781,949",6.45361,11,10.3144
Nevada,92,"2,615,772",3.51713,25,5.07745
New Hampshire,26,"1,321,872",1.96691,1,20.496
New Jersey,203,"8,663,398",2.34319,4,2.34319
New Mexico,31,"1,986,763",1.56033,25,5.07745
New York,896,"19,467,789",4.60247,3,4.60247
North Carolina,183,"9,247,134",1.97899,16,4.2218
North Dakota,56,"641,421",8.73062,10,19.9184
Ohio,691,"11,528,072",5.99406,7,9.14044
Oklahoma,101,"3,644,025",2.77166,20,9.25819
Oregon,91,"3,782,991",2.4055,27,13.007
Pennsylvania,235,"12,566,368",1.87007,5,1.87007
Rhode Island,61,"1,053,502",5.79021,1,20.496
South Carolina,101,"4,503,280",2.24281,16,4.2218
South Dakota,21,"804,532",2.61021,10,19.9184
Tennessee,163,"6,240,456",2.61199,19,2.61199
Texas,1017,"24,304,290",4.18445,21,4.18445
Utah,45,"2,727,343",1.64996,23,9.94475
Vermont,25,"621,049",4.02545,1,20.496
Virginia,158,"7,795,424",2.02683,13,2.02683
Washington,245,"6,566,073",3.7313,27,13.007
West Virginia,64,"1,814,873",3.52642,14,14.0015
Wisconsin,102,"5,627,610",1.81249,9,1.81249
Wyoming,12,"532,981",2.25149,23,9.94475
